Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
0b8223d6-9e05-b51f-c41c-04f517bf67ba,1939-07-14,2004-07-30,999-45-6099,S99998501,X422669X,Mrs.,Gwendolyn93,Davina555,Reilly981,,Price929,M,white,nonhispanic,F,Dudley  Massachusetts  US,486 McDermott Row Unit 81,Lowell,Massachusetts,Middlesex County,25017,01850,42.66046037491848,-71.32130404995854,823515.98,177555.42,92447
6346b9f6-e6c7-a372-ceb3-2c4356a9d995,1939-07-14,,999-42-3708,S99921841,X77380779X,Mrs.,Jessia669,Jewel43,Lang846,,Cartwright189,M,white,nonhispanic,F,Rowley  Massachusetts  US,561 Toy Forge Suite 9,Lowell,Massachusetts,Middlesex County,25017,01851,42.64658698335454,-71.37933072116864,572858.45,388267.24,92447
ac097e79-9c7c-5a22-1f30-b99c3d0a2470,1938-04-15,,999-87-9622,S99972140,X67583222X,Mr.,Theron432,Amado512,Pouros728,,,S,black,nonhispanic,M,Methuen  Massachusetts  US,684 Runte Mews Apt 92,Plymouth,Massachusetts,Plymouth County,25023,02360,41.88485531245254,-70.64317576234339,25634.48,798064.23,8499
a0b74a06-2b06-3494-301f-08c296a9b1a7,1979-05-18,,999-40-6706,S99971557,X16601112X,Mrs.,Christie481,Lissa828,Hickle134,,Cole117,M,white,nonhispanic,F,Newton  Massachusetts  US,131 Lubowitz Trailer,Franklin,Massachusetts,Norfolk County,25021,02038,42.048132378864175,-71.38243915292391,262195.32,1040575.43,26465
0c6c9052-c144-73cf-a505-80898f66ebb0,1940-03-11,2012-04-03,999-48-7785,S99943998,X15071420X,Mrs.,Beatriz277,Kenya524,Pouros728,,Kautzer186,D,black,nonhispanic,F,Chicopee  Massachusetts  US,730 Hilll Drive,Holliston,Massachusetts,Middlesex County,,00000,42.17012670234566,-71.44578737644103,859192.55,199388.84,115471
15276c23-d04a-3772-1f14-110252ee1f13,1947-07-16,,999-48-6391,S99956682,X71174343X,Mr.,Ike571,,Hickle134,,,S,white,nonhispanic,M,Great Barrington  Massachusetts  US,246 Ward Key Suite 31,Milford,Massachusetts,Worcester County,25027,01757,42.166061589345105,-71.5697806840757,18901.58,412320.95,66481
9489a35a-3c4a-9a7e-f14b-0f38faab55ea,1940-03-11,,999-65-7964,S99930799,X60245853X,Ms.,Fred155,Branda994,Gleichner915,,,S,black,nonhispanic,F,Concord  Massachusetts  US,349 Harvey Park Apt 74,Holliston,Massachusetts,Middlesex County,,00000,42.19520699340357,-71.44085094926126,1394296.43,584637.31,115471
31244292-5920-8066-d813-362aabd6bbf0,1944-11-16,2008-11-11,999-15-4112,S99919367,X62377424X,Mr.,Renato359,Roy364,Ryan260,,,S,white,nonhispanic,M,Framingham  Massachusetts  US,437 Klocko Harbor Unit 3,Middleborough Center,Massachusetts,Plymouth County,,00000,41.92535077519132,-70.93911557644302,226516.16,0.00,78817
13ebc930-0b21-c5c8-846f-22265c8ca030,1944-11-16,2020-11-02,999-74-8442,S99988251,X31744775X,Mr.,Zachary28,,Parisian75,,,M,white,nonhispanic,M,Cambridge  Massachusetts  US,297 Waters Lodge Suite 65,Middleborough Center,Massachusetts,Plymouth County,,00000,41.888615261319146,-70.89647888979309,510806.13,670300.51,78817
bc8b2c10-8ae1-5775-e91a-11f365c07e14,1944-11-16,,999-75-6191,S99956324,X15286949X,Mr.,Everett935,Dirk334,Schimmel440,,,D,white,nonhispanic,M,Worcester  Massachusetts  US,992 Wilkinson Overpass Suite 44,Middleborough Center,Massachusetts,Plymouth County,,00000,41.93474233165332,-70.90848972208646,142371.48,286971.12,78817
