Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
b50b7f21-c5ef-3609-a632-05348ab66d27,74ab949d-17ac-3309-83a0-13b4405c66aa,Gabriel934 Reilly981,F,GENERAL PRACTICE,881 Main Street,Fitchburg,MA,01420,42.586487,-71.80521,17720,0
5b99e626-7df5-31c3-a4d6-4c7ed320c52c,da92d3fc-5445-3825-a937-043ef0d6ecd0,Jerónimo599 Meza847,M,GENERAL PRACTICE,336 GRATTAN ST,CHICOPEE,MA,010201314,42.16629815,-72.59094099505367,33,0
142fd631-9227-39a2-bf35-4d626b5707fd,588f6ce6-b8db-3588-8189-29db2680a313,Terence292 Brakus656,M,GENERAL PRACTICE,461 WALNUT AVE,JAMAICA PLAIN,MA,021302331,42.311587599999996,-71.09800136347226,297,0
d7a4808b-0312-310c-a4af-fc81e33a0c94,324b4137-57a0-3ae0-89db-1c33f57ae0c1,Marquis364 Satterfield305,M,GENERAL PRACTICE,134 NORTH ST,NORTH READING,MA,018641315,42.5892341,-71.10546522083789,2,0
86becf5a-2d73-3fbf-ba34-273fb0f844fb,b6398e07-4967-31a5-807f-380039a1f303,Shane235 Lueilwitz711,M,GENERAL PRACTICE,19 TACOMA ST,WORCESTER,MA,016053516,42.30230485,-71.76614692511056,75,0
eec65d8e-df6b-3125-a1e7-605ec07c1b91,faffaf6a-ee1a-3673-b0b0-421a9c249244,Gustavo235 Armstrong51,M,GENERAL PRACTICE,66 WASHINGTON ST,STOUGHTON,MA,020722571,42.14415820061801,-71.10378319512402,1107,0
4296132b-544e-3632-993a-0eda69bf9bf0,17a4bae5-8b64-34d7-8144-b428be027bd0,Olympia319 Ward668,F,GENERAL PRACTICE,512 MAIN STREET  SUITE 211,SHREWSBURY,MA,015456406,42.295109499999995,-71.71808471110307,10,0
0babc136-78b4-35da-a0c2-68f38e96892b,e09d4c49-c2ef-3b0f-9a46-3719d9219306,Ronald408 Emard19,F,GENERAL PRACTICE,60 HOSPITAL RD,LEOMINSTER,MA,014533290,42.54031915,-71.76312990486304,58419,0
a21bbcf3-79f6-34ca-af80-419a69060f53,e76b5eb0-0c9d-3593-b5da-3c0e9a97bb96,Gisele901 Lehner980,F,GENERAL PRACTICE,1400 VFW Parkway,West Roxbury,MA,02132,42.2793,-71.1657,36,0
02dd84a3-8b14-3da1-994f-19dea6e9d615,e33fbb39-3d48-356e-b719-6942a94c09d9,Ronni748 Harris789,F,GENERAL PRACTICE,512 MAIN ST,HOLDEN,MA,015202039,42.33457565,-71.83651795564862,19,0
2be733f6-3ede-3803-b123-620c23672840,ef5390b4-cba5-3d83-96db-af783a7adb43,Milan77 Anderson154,M,GENERAL PRACTICE,360 MERRIMACK ST,MALDEN,MA,021482329,42.4250964,-71.066163,56,0
f355d0c6-150d-362f-8dae-8c9314cfe187,77645e49-3f69-3d1d-bb93-dc65210e2fac,Jarvis643 Ankunding277,M,GENERAL PRACTICE,363 HIGHLAND AVE,FALL RIVER,MA,027205246,41.7093779,-71.1460783680883,1932,0
cf507c21-4b72-3466-ba7c-924a79859bd5,5becf220-2978-3f33-bd38-9326947f85de,Thad495 Leannon79,M,GENERAL PRACTICE,240 LYNNFIELD STREET,PEABODY,MA,019605055,42.5141736,-70.97106354209534,111,0
38380005-d5ab-3fdf-b84d-fe003104568d,a58ec72a-cf43-3de5-88c1-de2fbec976a5,Blossom971 Bartoletti50,F,GENERAL PRACTICE,255 CENTRAL AVE,CHELSEA,MA,021503508,42.38804035,-71.02650270378646,20,0
70d8afd9-31bb-3486-ac7a-2714886d644c,03d0392a-7361-32b3-81c9-8c8ac985be00,Cameron381 Daniel959,F,GENERAL PRACTICE,280 WASHINGTON ST STE 204,BROOKLINE,MA,024451922,42.33302785,-71.1193506756953,208,0
0128c2bb-060f-3d2e-be37-4426f1529315,a8c95c30-d410-3b6c-b5c8-ceafabf5665b,Angle307 Brakus656,F,GENERAL PRACTICE,320 WASHINGTON ST FL 3,ALLSTON,MA,021341711,42.3555375,-71.1327494,6,0
e54ad4f5-9cf3-3a62-b649-a78ae98a9d37,3cd7d7ea-0053-36bf-b8a6-c5a2bd4f588a,Ferdinand55 Johnston597,M,GENERAL PRACTICE,180 LOW ST,NEWBURYPORT,MA,019503519,42.815683050000004,-70.89666045994463,49,0
b7a41c5f-66e8-3bf4-beaa-857691652956,e3089df2-a1db-372a-b660-30392d8c197b,Marylynn944 Waters156,F,GENERAL PRACTICE,178 N MAIN ST,SHARON,MA,020671229,42.13301625,-71.17263163492832,200,0
bd78dcfc-aec7-30f8-a8a1-8b0c42be4134,42d4b607-f14d-370a-818e-40965685776c,Arlen68 Hettinger594,M,GENERAL PRACTICE,3 WASHINGTON ST STE 220,NORTH EASTON,MA,023561034,42.0667665,-71.1036592,710,0
cd5d890e-85a2-3519-b153-7fa833445f80,ab701a70-a658-340e-8f69-ee196a7d40c6,Jolie499 Parisian75,F,GENERAL PRACTICE,484 RTE 134,WORCESTER,MA,016071728,42.2625621,-71.8018877,864,0
0a848987-e885-3fe6-be63-d9b5240c438d,41e77ca4-b0d7-3c1d-ac88-4ae5a705913d,Wanita14 Pfeffer420,F,GENERAL PRACTICE,20 CLAFLIN STREET,MILFORD,MA,017573356,42.137601149999995,-71.51680334935877,2,0
1e723e30-b2b1-341d-b320-bba873ce2486,11ba6a26-59b4-3728-a268-6dc9929962b4,Angelic427 McCullough561,F,GENERAL PRACTICE,200 GOVERNORS AVENUE,MEDFORD,MA,021551644,42.42711615,-71.1121606632448,143,0
f7a5771e-6182-32e4-b2ae-f2140cb03eca,bd6cec50-10de-3696-940b-4022618764ab,Lynn917 Graham902,F,GENERAL PRACTICE,40 MARTIN ST,MELROSE,MA,021763607,42.457050550000005,-71.07494593157304,1,0
90b629a9-c7be-33af-873f-eafa1291baff,0c8cc36b-3025-37ad-b7ab-50ea3aeea5a8,Clifton91 Terry864,M,GENERAL PRACTICE,143 LONGWATER DRIVE,WEYMOUTH,MA,021902432,42.2212188,-70.9391625,296,0
85abad2a-174f-3c36-b668-541e98480a1c,2b376b69-72ac-3d68-aceb-018e82b8fc8f,Victoria535 Hernádez343,F,GENERAL PRACTICE,113 CENTRAL AVE,HYDE PARK,MA,021363021,42.26077065,-71.1187885119897,7,0
ffc838b6-bc74-379b-962e-555863d16477,b871b2a6-3276-3f10-82e8-2af2fa7beec3,Stephany248 Mertz280,F,GENERAL PRACTICE,32 CENTRAL AVE,WORCESTER,MA,016081604,42.04519139999999,-71.8892867,46,0
a3317c2f-b1ee-3075-b8fd-cfbb05190245,59d1f454-5701-3f71-8fe7-94f785e15062,Wilton999 Lesch175,M,GENERAL PRACTICE,57 OLD ROAD TO 9 ACRE CORNER,WEST CONCORD,MA,017423317,42.4566859,-71.3942316,125,0
8e86861d-a0a8-3daf-af49-7b93c652ebe8,75f0d4cd-dbbb-3037-b6ad-2e99665728c7,Kim439 Friesen796,M,GENERAL PRACTICE,70 FULTON ST,BOSTON,MA,021091402,42.362439499999994,-71.05377386223965,143,0
ec1acc23-f1e5-3871-b0df-2f5776c4815b,39104cad-5228-3e07-9b3e-3ad736b33d5d,Hilda552 Muller251,F,GENERAL PRACTICE,200 PROVIDENCE HWY,DEDHAM,MA,020261881,42.22214545274341,-71.18159060546684,60,0
2cd49cb7-48d8-3075-a23c-4ea2717afdff,1a40cadb-d382-3853-9975-8b74417f291b,Scott935 Kilback373,F,GENERAL PRACTICE,300 BROOKSBY VILLAGE DRIVE,PEABODY,MA,019601445,42.55186086054086,-70.97261268384547,11,0
1c280aba-56cf-3ac5-9ea4-d75e3f8535b3,667b46fe-0afa-3f70-a311-bbe3d52db050,Joshua658 Borer986,M,GENERAL PRACTICE,757 BOSTON POST RD,WORCESTER,MA,016071728,42.231371,-72.165386,3,0
07770d0a-76c5-3fa1-b9e7-5257cbd3473c,009f87f0-4bb6-350c-ba41-0b3235a7ca43,Maurita219 Tromp100,F,GENERAL PRACTICE,277 ELLIOT ST,NEWTON UPPER FALLS,MA,024641201,42.3134306,-71.2206105,2,0
2330278d-3158-3430-aaa7-fb2aba8d4ab0,9a9bf61e-44d3-32fd-a027-7138369b1716,Sharen57 Weissnat378,F,GENERAL PRACTICE,194 ROCKDALE AVE,WEYMOUTH,MA,021882519,42.2212188,-70.9391625,206,0
d2938ca8-4971-31df-ad2e-4723bda51338,f945589f-88aa-366b-9e9d-2418d091112d,Ulysses632 Ziemann98,M,GENERAL PRACTICE,105 ERDMAN WAY,LEOMINSTER,MA,014531805,42.54685255,-71.75737313871981,19213,0
